original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
33,https://docs.djangoproject.com/en/5.2/ref/checks/,2025-11-03 16:07:26,success,,IPAddressField,django.db.models,Python,1.7,1.9 (except for historical migrations),,API Removal,The field has been deprecated and subsequently removed for better consistency and to encourage use of GenericIPAddressField.,https://docs.djangoproject.com/en/5.2/ref/checks/
40,https://docs.djangoproject.com/en/5.2/ref/django-admin/#running-management-commands-from-your-code,2025-11-03 16:07:32,success,,django-admin,django.core.management,Python,Unknown,Unknown,Unknown,Unknown,Unknown,https://docs.djangoproject.com/en/5.2/ref/django-admin/
39,https://docs.djangoproject.com/en/5.2/ref/django-admin/,2025-11-03 16:07:31,success,,runserver,django-admin,Python,5.2,,ASGI server or production-ready WSGI server,API Deprecation,The `runserver` command is intended for development and is unsuitable for use in production settings due to lack of security audits and performance testing.,https://docs.djangoproject.com/en/5.2/ref/django-admin/#runserver
46,https://docs.djangoproject.com/en/5.2/ref/migration-operations/,2025-11-03 16:07:39,success,,AlterIndexTogether,django.db.migrations.operations,Python,4.2,,"AddIndex, RemoveIndex",API Deprecation,"Improved handling of indexes using separate operations, providing more clarity and flexibility.",https://docs.djangoproject.com/en/5.2/ref/migration-operations/
57,https://docs.djangoproject.com/en/5.2/ref/urls/,2025-11-03 16:08:18,success,,register_converter,django.urls,Python,5.1,,,API Deprecation,Overriding existing converters was identified as unnecessary and potentially confusing for developers.,https://docs.djangoproject.com/en/5.2/ref/urls/#register_converter
58,https://docs.djangoproject.com/en/5.2/ref/urls/#module-django.conf.urls,2025-11-03 16:08:18,success,,register_converter,django.urls,Python,5.1,,,API Deprecation,Overriding existing converters has become deprecated to encourage better practices during URL pattern definitions and ensure consistency when registering custom path converters.,https://docs.djangoproject.com/en/5.2/ref/urls/#django.urls.register_converter
62,https://docs.djangoproject.com/en/5.1/ref/applications/,2025-11-03 16:08:20,success,,django.apps.AppConfig.default,django.apps,Python,5.0,,,Behavior Change,The attribute behavior was updated to differentiate application configurations when multiple configurations are declared in apps.py for better user override behavior.,https://docs.djangoproject.com/en/5.1/ref/applications/#django.apps.AppConfig.default
63,https://docs.djangoproject.com/en/5.1/ref/checks/,2025-11-03 16:08:21,success,,IPAddressField,django.db.models,Python,,1.9,,API Removal,The field was removed from the framework except for support in historical migrations.,https://docs.djangoproject.com/en/5.1/ref/checks/#fields-checks
68,https://docs.djangoproject.com/en/5.1/ref/databases/,2025-11-03 16:08:25,success,,psycopg2,django.db.backends.postgresql,Python,Django 5.1,Future version (specific version not provided),psycopg 3.1.8+,API Deprecation,psycopg2 is likely to be deprecated to make way for the improved functionality and performance provided by psycopg 3.,https://docs.djangoproject.com/en/5.1/ref/databases/#postgresql-notes
74,https://docs.djangoproject.com/en/5.1/ref/logging/,2025-11-03 16:08:31,success,,django.contrib.auth,django.contrib.auth,Python,4.2.16,,,Behavior Change,Added logging for error scenarios when password reset emails cannot be delivered due to mail-sending exceptions.,https://docs.djangoproject.com/en/5.1/topics/logging/
76,https://docs.djangoproject.com/en/5.1/ref/migration-operations/,2025-11-03 16:08:32,success,,AlterIndexTogether,django.db.migrations.operations,Python,4.2,,"AddIndex, RemoveIndex",API Deprecation,"For backward compatibility, but it should not be used for new migrations as its functionality is replaced by AddIndex and RemoveIndex.",https://docs.djangoproject.com/en/5.1/ref/migration-operations/
85,https://docs.djangoproject.com/en/5.1/ref/unicode/,2025-11-03 16:08:40,success,,smart_str,django.utils.encoding,Python,,,force_str,API Deprecation,"smart_str preserves lazy translations, while force_str forces them to a string. For use cases where lazy translations must be converted to strings, force_str is recommended over smart_str.",https://docs.djangoproject.com/en/5.1/ref/unicode/
87,https://docs.djangoproject.com/en/5.1/ref/urls/,2025-11-03 16:08:40,success,,register_converter,django.urls,Python,5.1,,,API Deprecation,Overriding existing converters is being deprecated to encourage better clarity and system integrity in URLconf behavior.,https://docs.djangoproject.com/en/5.1/ref/urls/#django.urls.register_converter
88,https://docs.djangoproject.com/en/5.1/ref/urls/#module-django.conf.urls,2025-11-03 16:08:42,success,,register_converter,django.urls,Python,5.1,,,API Deprecation,Overriding existing converters is deprecated to improve code stability and avoid conflicting behavior.,https://docs.djangoproject.com/en/5.1/ref/urls/#register-converter
91,https://docs.djangoproject.com/en/5.1/ref/views/,2025-11-03 16:08:46,success,,serve,django.views.static,Python,,,django.views.static.static,Behavior Change,The `serve()` view is not hardened for production use and is recommended exclusively for development purposes. Django provides the `static()` helper function to simplify URL configuration for static file serving.,https://docs.djangoproject.com/en/5.1/ref/views/#django.views.static.serve
81,https://docs.djangoproject.com/en/5.1/ref/settings/,2025-11-03 16:08:34,success,,FORMS_URLFIELD_ASSUME_HTTPS,django.forms,Python,5.0,Future version (exact version unknown),URLField.assume_scheme,API Deprecation,Transition toward using 'https' as the default scheme in URLField for better security. Allows developers to explicitly set the scheme where required instead of relying on transitional settings.,https://docs.djangoproject.com/en/5.1/ref/settings/#forms-urlfield-assume-https
